mz,rt,intensity,Formula
311.0545,1,588,C13H8F7N
311.0545,1,765,C13H8F7N
311.112,1,360,C11H16F7NO
311.8882,1,975,C3F7IO
311.8882,1,378,C3F7IO
312.0008,1,203,C7H3F11O
312.0008,1,245,C7H3F11O
312.0008,1,403,C7H3F11O
312.0008,1,522,C7H3F11O
312.0008,1,421,C7H3F11O
312.0121,1,846,C6H3F11N2
312.0197,1,860,C10H5F9O
312.0372,1,454,C8H7F11
312.0497,1,738,C12H7F7N2
312.0561,1,666,C11H9F9
312.0596,1,188,C10H11F7O3
312.9819,1,955,C5H4F9NO2S
312.9961,1,139,C6H2F11NO
313.0325,1,639,C7H6F11N
313.045,1,538,C11H6F7N3
313.9392,1,230,C5ClF9O3
313.9659,1,707,C5H3F9O3S
313.9801,1,643,C6HF11O2
313.9965,1,605,C7H2F12
313.9965,1,127,C7H2F12
314.0165,1,317,C7H5F11O
314.0165,1,897,C7H5F11O
314.0165,1,429,C7H5F11O
314.0165,1,129,C7H5F11O
314.029,1,498,C11H5F7N2O
314.0389,1,463,C9H9F7O4
314.0402,1,320,C10H5F7N4
314.0654,1,153,C12H9F7N2
314.0654,1,102,C12H9F7N2
314.1419,1,580,C21H18N2O
315.0494,1,231,C12H8F7NO
315.0494,1,868,C12H8F7NO
315.0494,1,861,C12H8F7NO
315.0494,1,982,C12H8F7NO
315.0506,1,906,C9H9F8NO2
315.9405,1,832,C7HCl2F7N2
315.9452,1,733,C4HF9O4S
315.9452,1,283,C4HF9O4S
315.9468,1,625,C6H3Cl2F9
315.9513,1,637,C6ClF11
315.9758,1,169,C6F12O
315.9758,1,721,C6F12O
315.9758,1,695,C6F12O
315.9758,1,643,C6F12O
315.9758,1,911,C6F12O
315.9758,1,821,C6F12O
315.9758,1,455,C6F12O
315.9758,1,774,C6F12O
315.9957,1,759,C6H3F11O2
315.9957,1,155,C6H3F11O2
316.0058,1,806,C8H2F10N2
316.0121,1,708,C7H4F12
316.0334,1,355,C12H7F7O2
316.0334,1,814,C12H7F7O2
316.0447,1,663,C11H7F7N2O
316.051,1,185,C10H9F9O
316.0532,1,720,C10H12F8S
316.0874,1,693,C11H13F9
317.0399,1,924,C10H6F7N3O
317.0462,1,684,C9H8F9NO
317.0651,1,318,C12H10F7NO
317.0651,1,544,C12H10F7NO
317.0651,1,356,C12H10F7NO
317.0651,1,315,C12H10F7NO
317.0651,1,831,C12H10F7NO
317.9164,1,180,C4ClF9O2S
317.9408,1,437,C4F10O3S
317.9903,1,392,C9HF11
318.0127,1,715,C11H5F7O3
318.0302,1,705,C9H7F9O2
318.0302,1,797,C9H7F9O2
318.0302,1,534,C9H7F9O2
318.0338,1,605,C8H9F7O5
318.0491,1,248,C12H9F7O2
318.0522,1,745,C8H13F7O3Si
318.103,1,482,C11H15F9
318.9902,1,508,C10H4F7NOS
319.0079,1,776,C10H4F7NO3
319.0113,1,802,C7H8F7NO3S
319.0443,1,489,C11H8F7NO2
319.0443,1,299,C11H8F7NO2
319.0443,1,894,C11H8F7NO2
319.0443,1,934,C11H8F7NO2
319.0619,1,482,C9H10F9NO
319.0619,1,341,C9H10F9NO
319.0807,1,996,C12H12F7NO
319.9647,1,672,C7H8BrF7O
319.9707,1,739,C5F12O2
319.9871,1,228,C6HF13
319.9871,1,630,C6HF13
319.9871,1,687,C6HF13
319.9951,1,629,C10H4ClF7N2
320.0095,1,250,C8H5F9O3
320.0095,1,707,C8H5F9O3
320.0248,1,884,C12H5F9
320.0283,1,508,C11H7F7O3
320.0396,1,567,C10H7F7N2O2
320.0459,1,912,C9H9F9O2
320.0459,1,107,C9H9F9O2
320.0459,1,407,C9H9F9O2
320.0483,1,932,C11H10F6O4
320.0823,1,506,C10H13F9O
321.02,1,788,C11H4F9N
321.0236,1,840,C10H6F7NO3
321.0411,1,488,C8H8F9NO2
321.0775,1,266,C9H12F9NO
321.9089,1,185,C5H2F7I
321.9089,1,712,C5H2F7I
321.9898,1,176,C10H5F7O2S
322.0404,1,712,C12H7F9
322.0404,1,454,C12H7F9
322.0552,1,981,C10H9F7N2O2
322.0615,1,851,C9H11F9O2
322.9948,1,509,C10H5ClF7NO
322.9948,1,321,C10H5ClF7NO
322.9948,1,731,C10H5ClF7NO
323.0312,1,292,C11H9ClF7N
323.8882,1,911,C4F7IO
323.9196,1,320,C6H2BrF9
323.9246,1,791,C5H4F7I
323.9246,1,140,C5H4F7I
323.9385,1,845,C9H4BrF7
323.9385,1,304,C9H4BrF7
323.9385,1,729,C9H4BrF7
323.9385,1,468,C9H4BrF7
323.9867,1,555,C7H5F9O2S
324.0197,1,712,C11H5F9O
324.023,1,944,C8H9F9OS
324.0345,1,170,C9H7F7N2O3
324.0796,1,723,C11H14F6O4
324.9337,1,988,C8H3BrF7N
324.9337,1,885,C8H3BrF7N
324.9337,1,581,C8H3BrF7N
324.9797,1,542,C6HF10NO3
325.0338,1,553,C13H6F7NO
325.0513,1,299,C11H8F9N
325.1277,1,484,C12H18F7NO
325.1277,1,842,C12H18F7NO
325.8989,1,609,C5BrF9O
325.9148,1,754,C6Cl2F8O2
325.9353,1,436,C6H4BrF9
325.9659,1,897,C6H3F9O3S
325.9756,1,896,C7H4ClF9O2
325.9756,1,706,C7H4ClF9O2
326.0165,1,492,C8H5F11O
326.0165,1,433,C8H5F11O
326.0165,1,365,C8H5F11O
326.0165,1,284,C8H5F11O
